                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5675,                 1.5239,                 1.5974,                0.58868,                0.47919,                0.50349,                0.32122,                 1.3347,                 1.6375,                 1.5818,               0.008449,               0.008449,               0.008449
                     50,                 1.5592,                 1.5186,                 1.6012,                0.62205,                0.47852,                0.51528,                0.33424,                 1.3043,                 1.6316,                 1.5562,               0.008416,               0.008416,               0.008416
                     51,                 1.5239,                 1.4826,                 1.5793,                0.50197,                0.53333,                0.49071,                0.32303,                 1.3018,                 1.6467,                  1.558,               0.008383,               0.008383,               0.008383
                     52,                 1.5447,                 1.5117,                 1.5862,                 0.5466,                0.49651,                0.49369,                0.32678,                 1.2648,                 1.6462,                 1.5333,                0.00835,                0.00835,                0.00835
                     53,                 1.5526,                 1.4872,                 1.5784,                 0.4734,                0.47259,                0.46177,                0.30423,                 1.2906,                  1.773,                 1.5504,               0.008317,               0.008317,               0.008317
                     54,                 1.5382,                 1.4977,                 1.5809,                0.51167,                0.45037,                0.46064,                0.31197,                  1.297,                 1.8109,                 1.5605,               0.008284,               0.008284,               0.008284
                     55,                 1.5339,                 1.4878,                 1.5721,                  0.486,                0.44593,                0.45492,                0.29639,                 1.2993,                 1.8714,                 1.5606,               0.008251,               0.008251,               0.008251
                     56,                 1.5302,                 1.4756,                 1.5748,                0.50267,                0.47852,                0.47259,                0.31516,                 1.2542,                 1.8041,                 1.5171,               0.008218,               0.008218,               0.008218
                     57,                 1.5359,                 1.4779,                 1.5701,                0.55635,                0.46259,                0.48933,                0.32311,                 1.2811,                  1.764,                   1.53,               0.008185,               0.008185,               0.008185
                     58,                 1.5298,                 1.4753,                 1.5692,                0.54346,                0.50815,                0.50263,                0.33139,                 1.2769,                 1.6263,                 1.5292,               0.008152,               0.008152,               0.008152
                     59,                 1.5191,                   1.46,                 1.5689,                0.56143,                 0.4563,                0.48311,                0.32255,                 1.2681,                 1.7003,                 1.5332,               0.008119,               0.008119,               0.008119
                     60,                 1.5294,                 1.4651,                 1.5609,                0.55549,                0.48593,                0.48569,                0.32877,                 1.2589,                 1.7293,                 1.5188,               0.008086,               0.008086,               0.008086
                     61,                 1.5226,                 1.4755,                 1.5659,                0.53409,                0.52647,                0.50975,                0.33831,                 1.2635,                 1.7518,                 1.5134,               0.008053,               0.008053,               0.008053
                     62,                 1.5152,                  1.461,                 1.5698,                0.60233,                0.44296,                0.49915,                0.32881,                   1.26,                 1.7312,                 1.5251,                0.00802,                0.00802,                0.00802
                     63,                 1.5185,                 1.4648,                 1.5573,                0.57171,                0.49778,                0.50685,                0.33698,                 1.2656,                 1.6762,                 1.5057,               0.007987,               0.007987,               0.007987
                     64,                  1.504,                 1.4271,                 1.5461,                0.57847,                0.50222,                0.51744,                0.34479,                 1.2447,                 1.6238,                  1.504,               0.007954,               0.007954,               0.007954
                     65,                 1.5047,                 1.4409,                  1.544,                0.53176,                0.48593,                0.49118,                0.33124,                 1.2499,                 1.6863,                  1.509,               0.007921,               0.007921,               0.007921
                     66,                 1.4993,                 1.4398,                 1.5477,                0.52703,                0.50222,                0.50019,                0.33465,                  1.255,                 1.6344,                 1.5062,               0.007888,               0.007888,               0.007888
                     67,                 1.5117,                  1.424,                 1.5459,                0.61332,                0.44593,                0.50171,                0.33342,                 1.2669,                 1.7066,                 1.5076,               0.007855,               0.007855,               0.007855
                     68,                 1.4946,                  1.418,                 1.5503,                0.59734,                0.46519,                0.49732,                0.32774,                  1.272,                 1.7118,                 1.5138,               0.007822,               0.007822,               0.007822
                     69,                 1.4907,                 1.4197,                 1.5401,                0.55771,                0.45481,                0.48665,                0.32846,                 1.2573,                 1.6753,                  1.504,               0.007789,               0.007789,               0.007789
                     70,                  1.495,                 1.4129,                 1.5427,                0.55903,                   0.44,                0.47114,                0.32294,                 1.2183,                 1.7234,                 1.4783,               0.007756,               0.007756,               0.007756
